name,currentPrimary,currentCategories,suggestedPrimary,suggestedCategories,change,reason
"二次元动漫里番频道","Adult","Amateur, Telegram-Porn","Hentai","China, Hentai, Telegram-Porn","Adult → Hentai | tags: [Amateur, Telegram-Porn] → [China, Hentai, Telegram-Porn]","Name signals ""Hentai"" (was ""Adult"")"
"Алена Омович","Adult","Amateur, Telegram-Porn","Russian","Russian, Telegram-Porn","Adult → Russian | tags: [Amateur, Telegram-Porn] → [Russian, Telegram-Porn]","Name signals ""Russian"" (was ""Adult"")"
"推特福利中文精选","Adult","Amateur, Telegram-Porn","Asian","Asian, China, Telegram-Porn","Adult → Asian | tags: [Amateur, Telegram-Porn] → [Asian, China, Telegram-Porn]","Description signals ""Asian"""
"OnlyFans - Cливы Блогеров","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Сливы Onlyfans 🇷🇺","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Onlyfans Heart","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Onlyfans Leaks, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Onlyfans Leaks, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Noah’s channel 😝","Adult","Amateur, Onlyfans","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"OnlyFans Mega Links 🔞","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"【全网🚗福利】导航站","Adult","Amateur, Latina, Onlyfans","Onlyfans","Cosplay, Hentai, Latina, MILF, Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Latina, Onlyfans] → [Cosplay, Hentai, Latina, MILF, Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Elaine🌶️","Adult","Amateur, Onlyfans, Germany","Onlyfans","Germany, Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Germany] → [Germany, Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"OnlyFans Leaks 💦 FANZLEAKS","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans Leaks","Onlyfans, Onlyfans Leaks, Telegram-Porn","Adult → Onlyfans Leaks | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Onlyfans Leaks, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans Leaks"""
"Emma 🌶","Adult","Amateur, Onlyfans, Germany","Onlyfans","Germany, Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Germany] → [Germany, Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"JustOnlyFans","Adult","Amateur, Onlyfans, Italy","Onlyfans","Ebony, Italy, Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Italy] → [Ebony, Italy, Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"OnlyFans Premium Models","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"✅ FREE ONLYFANS","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Veronica Perasso Onlyfans","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Onlyfans helper by Ginger😉","Adult","Amateur, Onlyfans, Germany","Onlyfans","Germany, Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Germany] → [Germany, Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"OnlyFans","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Patreon&Onlyfans Прихожая | Наташа Шелягина","Adult","Amateur, Russian, Onlyfans","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Russian, Onlyfans] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"OF Gang | Сливы OnlyFans","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"🔥🔥Free onlyfans🔥🔥","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Content Models","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Onlyfans Кристины Шерман и Анатолия 💜","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn, USA","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn, USA]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Krustaheim","Adult","Amateur, Cosplay, Onlyfans","Onlyfans","Cosplay, Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Cosplay, Onlyfans] → [Cosplay, Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Lyvlas 🦊","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Xenia Helena OnlyFans","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Onlyfans 🔞Архивы🔞","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"| Nora Fawn | Fans","Adult","Amateur, Cosplay, Onlyfans","Onlyfans","Cosplay, Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Cosplay, Onlyfans] → [Cosplay, Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Ri www Riwww Renata Valliulina Sliv OnlyFans","Adult","Amateur, Onlyfans, Spain","Onlyfans","Onlyfans, Russian, Spain, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Spain] → [Onlyfans, Russian, Spain, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
