Tag,Live,Local,Diff,Status
"4K & HD",8,8,0,MATCH
"Adult",38,38,0,MATCH
"Ahegao",626,924,298,DIFF
"AI NSFW",13,13,0,MATCH
"Alt",427,935,508,DIFF
"Amateur",197,197,0,MATCH
"American",38,33,-5,DIFF
"Anal",203,334,131,DIFF
"Anime",331,270,-61,DIFF
"Arab",53,17,-36,DIFF
"Argentina",,41,,LOCAL ONLY
"Argentinian",56,52,-4,DIFF
"Arizona",12,12,0,MATCH
"Asexual",,0,,LOCAL ONLY
"Asian",406,407,1,DIFF
"ASMR",46,40,-6,DIFF
"Atlanta",,72,,LOCAL ONLY
"Australia",,26,,LOCAL ONLY
"Australian",100,94,-6,DIFF
"BBW",194,179,-15,DIFF
"BDSM",138,133,-5,DIFF
"Big Ass",1015,264,-751,DIFF
"Big Boobs",893,246,-647,DIFF
"Big Booty",141,140,-1,DIFF
"Big Tits",6,140,134,DIFF
"Bikini",169,131,-38,DIFF
"Bisexual",104,86,-18,DIFF
"Blond",,62,,LOCAL ONLY
"Blonde",668,667,-1,DIFF
"Blowjob",15,939,924,DIFF
"Bondage",110,32,-78,DIFF
"Booty",,386,,LOCAL ONLY
"Bratty",,53,,LOCAL ONLY
"Brazil",19,37,18,DIFF
"Brazilian",153,60,-93,DIFF
"British",344,92,-252,DIFF
"Brunette",386,386,0,MATCH
"Bulgarian",,0,,LOCAL ONLY
"Bunny Girl",51,24,-27,DIFF
"Busty",366,351,-15,DIFF
"California",75,75,0,MATCH
"Cam Girl",,42,,LOCAL ONLY
"Canada",,88,,LOCAL ONLY
"Canadian",79,79,0,MATCH
"Catgirl",54,29,-25,DIFF
"Caucasian",,5,,LOCAL ONLY
"Celebrity",219,187,-32,DIFF
"Chilean",12,8,-4,DIFF
"China",7,7,0,MATCH
"Chinese",42,36,-6,DIFF
"Chubby",196,497,301,DIFF
"College",165,160,-5,DIFF
"College Girl",26,22,-4,DIFF
"Colombia",6,162,156,DIFF
"Colombian",157,156,-1,DIFF
"Colorado",18,18,0,MATCH
"Cosplay",822,832,10,DIFF
"Cosplayer",,239,,LOCAL ONLY
"Couple",225,183,-42,DIFF
"Couple Lesbian",,9,,LOCAL ONLY
"Couple Straight",,0,,LOCAL ONLY
"Creampie",,48,,LOCAL ONLY
"Croatian",,0,,LOCAL ONLY
"Curves",,128,,LOCAL ONLY
"Curvy",,497,,LOCAL ONLY
"Custom",388,210,-178,DIFF
"Czech",10,8,-2,DIFF
"Dancer",159,141,-18,DIFF
"Dick Rating",71,28,-43,DIFF
"Dildo",,146,,LOCAL ONLY
"Doll",,106,,LOCAL ONLY
"Dominant",,35,,LOCAL ONLY
"Dominatrix",326,281,-45,DIFF
"Domme",,56,,LOCAL ONLY
"Dutch",17,15,-2,DIFF
"E-girl",674,177,-497,DIFF
"Ebony",127,127,0,MATCH
"Ecuadorian",,10,,LOCAL ONLY
"Egirl",,162,,LOCAL ONLY
"Emo",,43,,LOCAL ONLY
"Exotic",42,29,-13,DIFF
"Facial",,27,,LOCAL ONLY
"Fansly",,98,,LOCAL ONLY
"Feet",388,388,0,MATCH
"Femdom",151,149,-2,DIFF
"Fetish",705,561,-144,DIFF
"Filipina",19,18,-1,DIFF
"Findom",266,256,-10,DIFF
"Finnish",10,8,-2,DIFF
"Fitness",291,290,-1,DIFF
"Florida",77,77,0,MATCH
"Foot Fetish",,57,,LOCAL ONLY
"France",,65,,LOCAL ONLY
"French",70,63,-7,DIFF
"Gamer",352,277,-75,DIFF
"Gamer Girl",,132,,LOCAL ONLY
"Georgia",73,73,0,MATCH
"Georgian",,45,,LOCAL ONLY
"German",122,110,-12,DIFF
"Germany",,71,,LOCAL ONLY
"GFE",76,67,-9,DIFF
"Ginger",,65,,LOCAL ONLY
"Girl Next Door",127,126,-1,DIFF
"Girlfriend",,267,,LOCAL ONLY
"Goth",378,396,18,DIFF
"Goth Girl",75,47,-28,DIFF
"Gothic",,33,,LOCAL ONLY
"Greece",,49,,LOCAL ONLY
"Greek",84,84,0,MATCH
"Gym",,157,,LOCAL ONLY
"Hairy",59,47,-12,DIFF
"Hardcore",12,12,0,MATCH
"Heels",79,67,-12,DIFF
"Hotwife",134,114,-20,DIFF
"Housewife",,758,,LOCAL ONLY
"Huge Tits",,68,,LOCAL ONLY
"Illinois",16,16,0,MATCH
"Influencer",170,36,-134,DIFF
"Inked",,57,,LOCAL ONLY
"Instagram",,157,,LOCAL ONLY
"Irish",17,15,-2,DIFF
"Italian",68,56,-12,DIFF
"Italy",,56,,LOCAL ONLY
"Japan",,23,,LOCAL ONLY
"Japanese",60,57,-3,DIFF
"JOI",202,924,722,DIFF
"Korean",,16,,LOCAL ONLY
"Las Vegas",,62,,LOCAL ONLY
"Latex",67,66,-1,DIFF
"Latina",798,798,0,MATCH
"Leather",,37,,LOCAL ONLY
"Lesbian",470,470,0,MATCH
"Lingerie",333,333,0,MATCH
"Live Show",34,6,-28,DIFF
"London",,84,,LOCAL ONLY
"Maid",36,20,-16,DIFF
"Malaysian",,0,,LOCAL ONLY
"Massachusetts",22,22,0,MATCH
"Masturbation",8,8,0,MATCH
"Mature",,758,,LOCAL ONLY
"Mexican",50,46,-4,DIFF
"Mexico",,46,,LOCAL ONLY
"Miami",,43,,LOCAL ONLY
"Michigan",29,29,0,MATCH
"MILF",735,768,33,DIFF
"Mistress",,115,,LOCAL ONLY
"Model",821,612,-209,DIFF
"Mommy",270,243,-27,DIFF
"Moroccan",71,70,-1,DIFF
"Morocco",,53,,LOCAL ONLY
"Muscle",,21,,LOCAL ONLY
"Natural",141,139,-2,DIFF
"Neighbor",153,136,-17,DIFF
"Nevada",79,79,0,MATCH
"New York",33,33,0,MATCH
"New Zealand",21,15,-6,DIFF
"No PPV",200,3892,3692,DIFF
"North Carolina",8,8,0,MATCH
"Norwegian",13,13,0,MATCH
"NSFW-Telegram",20,20,0,MATCH
"Nude",798,513,-285,DIFF
"Nurse",65,45,-20,DIFF
"Onlyfans",49,49,0,MATCH
"OnlyFans Free",379,376,-3,DIFF
"Onlyfans Leaks",8,8,0,MATCH
"Oral",178,144,-34,DIFF
"PAWG",170,165,-5,DIFF
"Persian",17,7,-10,DIFF
"Peruvian",18,10,-8,DIFF
"Petite",727,727,0,MATCH
"Piercing",51,51,0,MATCH
"Polish",25,22,-3,DIFF
"Pornstar",145,128,-17,DIFF
"POV",92,47,-45,DIFF
"Pregnant",44,20,-24,DIFF
"Public",7,69,62,DIFF
"Public Sex",,7,,LOCAL ONLY
"Puerto Rican",8,8,0,MATCH
"Puerto Rico",,8,,LOCAL ONLY
"Redhead",297,297,0,MATCH
"Roleplay",128,86,-42,DIFF
"Romanian",12,10,-2,DIFF
"Russian",40,37,-3,DIFF
"Scottish",23,23,0,MATCH
"Sexting",378,365,-13,DIFF
"Shaved",70,32,-38,DIFF
"Short",,58,,LOCAL ONLY
"Shower Sex",,0,,LOCAL ONLY
"Singaporean",,4,,LOCAL ONLY
"Skinny",,40,,LOCAL ONLY
"Slave",,36,,LOCAL ONLY
"Slim",,30,,LOCAL ONLY
"Slovak",,0,,LOCAL ONLY
"Small",,144,,LOCAL ONLY
"Solo",470,285,-185,DIFF
"South Korean",16,16,0,MATCH
